name,id
"5 vor Flug",47c4ccbe-bee7-30b0-95a9-0006b1b26627
"5 vor Flug Schweiz",b255d63d-59f2-3f6b-9336-d10e8a3f41e4
"5VF tagesaktuell",23fad1f5-36c8-3362-a5fb-1ab0ff5dd47f
"ADAC Reisen",7075e661-76a2-33c5-8814-6a78fb20c7ef
AIDA,68e08b1a-8611-3c80-85ad-0de161b611f7
"Air Marin",8d4d28a4-af94-3c5e-b271-51c68368ad49
"Air Marin XAIR",b6d01b0a-8be8-3ae3-ab77-e09d70a59eb9
Airtours,1ce6e363-bdb6-3ea9-9c3b-10ac2a6fb087
"airtours Suisse",0cf16023-115f-37b4-9217-ed5c77318e7b
"Aldiana XALD",f03af5ff-8974-3b66-891b-07f50c64dbd8
Alltours,16cadd7a-28cc-3264-86ef-10f88cf66d5a
Alltours-X,d2f5cff1-7252-3b19-a321-f0c1512c641d
Ameropa,a03311d3-34fe-3532-be70-6f5b8315cf01
"Anex Tour",c8b95480-4997-34bd-a9be-8a08cd1752db
"Attika Reisen",dc093683-6347-36fe-9da7-7b97e24d85f0
"BENTOUR REISEN",858e0fe7-a0a9-3f28-9337-f62418dad8bd
"BENTOUR REISEN BENX",f1dfd096-af12-3ef2-8677-b734174e98f4
"BENTOUR REISEN CH",0dedc55c-fd17-3cce-8d52-1b0e65b2f794
"BIG Schweiz",c980e654-e624-3af5-8bad-2cb1b1568334
"BigXtra Touristik",527972b3-972e-3cd1-8b5c-3ad181968e7f
"BigXtra XBIG",ae8247aa-ed10-3daf-955d-a866cecd27ac
"Billa Reisen",26925ca8-d04b-3849-a508-7ed4e1716095
Booking.com,35d56e6b-187f-3564-95a8-a6d5270f2cb5
"Bucher Reisen",6f394d2c-7b7d-3e54-a522-690045e8817a
Byebye,85e69abf-4555-35a6-bcb7-40fca7f40fd3
Clevertours,b7b2e1c9-9335-3cb6-9cc3-dd87efdb7ad1
"Club Aldiana",ec13e356-9c76-3f2c-95b4-8b3b195d8fb9
"Club Med",7266ed2d-cae0-3348-adb5-523847276f31
"Coral Travel",dd50cb56-e5e6-3b83-a7a2-5d6e62c1f687
DERTOUR,230b3a4f-38b3-3f6f-a824-640fc44dcea7
"DERTOUR Packaging",15d74ba1-d2cb-3a63-97b7-c2ede5ac1a3e
"Ecco Reisen",44650b94-5084-34d7-b2bc-3582a7d08f63
"Ecco Reisen - XECC",d30d4a5a-7926-3a77-b542-f80574941442
"Eurowings Holidays",b3ceab76-cf84-35cc-b9aa-d2080e799c27
"Expedia Affiliate Network",87281d5b-2f43-38d9-99b2-3c83e4e031dd
"Express Travel International",35835cff-acc4-3be6-9978-0734e2d82357
"Falk Travel",622472b6-f92d-32d1-9a50-3c1486824256
FERIEN,9f7a8980-1122-3990-b0b7-b91554442050
"Fit & Vital Reisen",ecf32c0a-bd34-3b97-a3d8-00ed07fc3f41
